,glcm_mean,glcm_variance,glcm_autoCorrelation,glcm_cProminence,glcm_cShade,glcm_cTendency,glcm_contrast,glcm_correlation,glcm_differenceEntropy,glcm_dissimilarity,glcm_energy,glcm_entropy,glcm_homogeneity1,glcm_homogeneity2,glcm_IDMN,glcm_IDN,glcm_inverseVariance,glcm_maxProb,glcm_sumAverage,glcm_sumEntropy,glcm_sumVariance
image 59,1.570849145,-0.543892037,1.62116912,-0.27492929,-0.108389467,-0.522613884,-0.593233951,0.476973701,-0.387158174,-0.626250132,-0.215898221,-0.229599354,0.492538901,0.511355063,0.610938748,0.610663058,0.099029712,-0.059639673,1.517776674,-0.112752258,1.839560362
image 60,-1.86352313,0.477522145,-1.276558919,0.241504357,0.969814514,0.503732145,-0.731069244,0.750917969,-1.088871399,-1.064798655,2.052276,-1.479047278,1.291171158,1.254756646,0.778267854,1.122647335,-1.389469845,2.646214806,-1.570420008,-1.143655327,-1.118951804
image 61,1.427477473,-0.466082875,1.704692103,-0.093135879,-0.222095898,-0.444296848,-0.607419991,0.527347324,-0.400283992,-0.614424864,-0.131394989,-0.366247819,0.440823375,0.468568123,0.644427582,0.626004767,0.273569853,0.124008906,1.631354931,0.032199733,1.872422047
image 62,0.669749946,0.720594871,0.871996791,0.416004283,-0.517181697,0.750012875,-0.82060328,0.798870296,-1.607962513,-1.283059321,-0.285337684,-0.311454819,1.589843421,1.563577926,0.874592653,1.356926442,-1.525746025,-0.391391947,0.785586414,0.49149662,0.866945223
image 63,0.26094842,-0.045474011,0.230456186,-0.199477249,0.068482692,-0.019295488,-0.730038424,0.719026232,-0.844608497,-0.83336126,-0.370048966,0.110771687,0.624500201,0.685931767,0.776273538,0.853807818,0.61978717,-0.526166308,0.505944608,0.777121979,0.302040766
image 64,-1.338420261,-0.607720545,-1.265120056,-0.449358518,0.384772811,-0.652933937,1.261063067,-2.069229448,1.324561143,1.371882348,-0.421741679,0.731417721,-1.154639954,-1.154087836,-1.373200052,-1.402203024,0.398467763,-0.607623339,-1.058908987,0.2558751,-1.158045675
image 65,-1.332553558,-0.337353901,-1.181249653,-0.314549626,0.332815844,-0.310633705,-0.745058937,0.699969267,-0.986496784,-0.963777077,-0.256643412,-0.358911287,0.930297252,0.967730353,0.792882777,1.002076289,-0.036320404,-0.209224404,-1.051829175,0.305076811,-1.084608536
image 66,0.554415401,-0.082380305,0.557754286,-0.111864546,-0.274050729,-0.087940797,0.155091918,0.060715944,0.485208394,0.167394304,-0.281803178,0.253717004,-0.137763262,-0.121944276,-0.187153059,-0.186582133,0.214823093,-0.086298338,0.797615638,0.351596536,0.682707285
image 67,1.288060882,0.297235528,1.641601229,1.22907795,-1.285676839,0.318849854,-0.602854933,0.671112151,-0.391665245,-0.535026634,-0.252868576,-0.334099645,0.218303264,0.278036218,0.639420466,0.534592502,0.934190795,-0.351403949,1.514699431,-0.022361093,1.837166737
image 68,0.018963405,-0.457552839,-0.123405845,-0.394306014,0.11874169,-0.458548793,0.027908427,-0.164883177,0.695391994,0.549519403,-0.431428172,0.736018958,-0.876458225,-0.89471248,-0.032163262,-0.591938198,0.584215595,-0.570597416,0.271794359,0.54927333,-0.034949189
image 69,-0.722855909,-0.038363253,-0.730639437,-0.161954298,0.566409779,-0.064750548,0.735885076,-0.325475743,1.121447148,1.114767228,-0.446847723,0.986584925,-1.167716812,-1.194547135,-0.728472754,-1.115053276,0.356535818,-0.63131993,-0.463236434,0.632007511,-0.649561328
image 70,1.44226508,0.576279002,1.92755775,1.063207409,-1.172319263,0.591757966,-0.431837069,0.613625286,-0.044213174,-0.354606826,-0.066685558,-0.364752325,0.330915954,0.290673906,0.455822806,0.362217772,-0.65354243,-0.025575824,0.96410957,-0.137960631,1.437970663
image 71,-0.059325219,-0.415942455,-0.207984766,-0.404334472,0.301621859,-0.447564059,0.881966925,-1.00277264,1.284094694,1.420197016,-0.456154636,1.037943817,-1.412338429,-1.45621666,-0.906950018,-1.433659335,0.162809283,-0.656497558,0.19654177,0.531996917,-0.111813041
image 72,-0.044186049,-0.077394011,-0.108001747,-0.25457161,0.156700217,-0.060725357,-0.464823293,0.52077097,-0.017531578,-0.151887941,-0.42875485,0.601908637,-0.336241717,-0.299785733,0.490257206,0.119489749,1.169860539,-0.543938751,0.202846891,0.809753165,-0.045010701
image 73,-0.871742721,-0.462718891,-0.922542327,-0.442331578,0.266893324,-0.47987492,0.478572894,-0.668019846,0.999328377,0.927590124,-0.44419867,0.840553466,-1.077723625,-1.101374028,-0.568299054,-1.021682022,0.438546195,-0.600218154,-0.599108567,0.536874471,-0.832593461
image 74,-0.279337564,0.745292758,-0.174930652,0.157104287,-0.127990859,0.772601818,-0.761797482,0.773778803,-1.099217933,-1.058041358,-0.330303737,-0.049193243,1.152367788,1.158498658,0.811030462,1.108087263,-0.665860344,-0.469886904,-0.064378345,0.676120107,-0.131541127
image 75,0.841048882,1.661820257,1.275554888,1.107334234,-1.096590694,1.684328519,-0.628183641,0.749582101,-0.486978628,-0.70058039,-0.233484751,-0.124467362,0.616638501,0.627055647,0.666922035,0.721657827,-0.125649912,-0.243288253,0.574138904,0.189653704,0.93670877
image 76,-0.185096782,-0.416169834,-0.312984853,-0.307950927,0.394364036,-0.395588287,-0.573844727,0.510286415,-0.483717371,-0.707675551,0.13461165,-0.512344302,0.817025836,0.781651617,0.609128716,0.741598386,-1.002392772,0.377266222,0.035018769,-0.193205739,-0.21493054
