"","x"
"112",0.63921568627451
"113",0.57643137254902
"114",0.47156862745098
"115",0.309803921568627
"116",0.589370196078431
"117",0.0469803921568627
"118",0.517941960784314
"119",0.792156862745098
"120",0.710527058823529
"121",0.308552941176471
"122",0.282760784313725
"123",0.180298039215686
"124",0.389479215686275
"125",0.224958431372549
"126",0.217647058823529
"127",0.733372549019608
"128",0.723176470588235
"129",0.819607843137255
"130",0.369454509803922
"131",0.819607843137255
"132",0.309883137254902
"133",0.231372549019608
"134",0.866921568627451
"135",0.359706666666667
"136",0.557333333333333
"137",0.929411764705882
"138",0.51827137254902
"139",0.925490196078431
"140",0.898039215686275
"141",0.627450980392157
"142",0.349019607843137
"143",0.263132549019608
"144",0.674509803921569
"145",0.539086274509804
"146",0.135952941176471
"147",0.768627450980392
"148",0.518725490196078
"149",0.690196078431373
"150",0.643137254901961
"151",0.391582745098039
"152",0.297098039215686
"153",0.803921568627451
"154",0.886274509803922
"155",0.525490196078431
"156",0.929411764705882
"157",0.232054901960784
"158",0.474898823529412
"159",0.430997647058823
"160",0.481345098039216
"161",0.453945098039216
"162",0.882352941176471
"163",0.822627450980392
"164",0.844117647058824
"165",0.799803921568628
"166",0.949019607843137
"167",0.688627450980392
"168",0.428094117647059
"169",0.858823529411765
"170",0.663411764705882
"171",0.817294117647059
"172",0.545844705882353
"173",0.824139607843137
"174",0.59043137254902
"175",0.553607843137255
"176",0.317978039215686
"177",0.913725490196078
"178",0.525291764705882
"179",0.242176470588235
"180",1
"181",0.475643137254902
"182",0.886274509803922
"183",0.764705882352941
"184",0.140501960784314
"185",0.752941176470588
"186",0.624632156862745
"187",0.780392156862745
"188",0.0274509803921569
"189",0.267478431372549
"190",0.545098039215686
"191",0.896698039215686
"192",0.689356078431373
"193",0.769560784313725
"194",0.155823529411765
"195",0.561764705882353
"196",0.636462745098039
"197",0.972549019607843
"198",0.779333333333333
"199",0.468749019607843
"200",0.693647058823529
"201",0.957411764705882
"202",0.520627450980392
"203",0.952941176470588
"204",0.82521568627451
"205",0.356980392156863
"206",0.780392156862745
"207",0.431333333333333
